country,pastheight,presentheight,absolute change,percent change
Macedonia,149.58 cm in 1896,159.78 cm in 1996,+10.21 cm,+7%
Madagascar,149.68 cm in 1896,151.18 cm in 1996,+1.50 cm,+1%
Malawi,151.41 cm in 1896,154.40 cm in 1996,+2.99 cm,+2%
Malaysia,147.54 cm in 1896,156.30 cm in 1996,+8.75 cm,+6%
Maldives,143.89 cm in 1896,155.02 cm in 1996,+11.13 cm,+8%
Mali,156.07 cm in 1896,160.47 cm in 1996,+4.40 cm,+3%
Malta,150.19 cm in 1896,160.85 cm in 1996,+10.66 cm,+7%
Marshall Islands,148.71 cm in 1896,151.31 cm in 1996,+2.59 cm,+2%
Mauritania,154.96 cm in 1896,157.72 cm in 1996,+2.76 cm,+2%
Mauritius,148.12 cm in 1896,157.24 cm in 1996,+9.12 cm,+6%
Mexico,143.48 cm in 1896,156.85 cm in 1996,+13.37 cm,+9%
Micronesia (country),152.45 cm in 1896,156.09 cm in 1996,+3.64 cm,+2%
Middle East and North Africa,149.80 cm in 1896,158.75 cm in 1996,+8.94 cm,+6%
Moldova,152.25 cm in 1896,163.24 cm in 1996,+10.99 cm,+7%
Mongolia,147.89 cm in 1896,158.22 cm in 1996,+10.32 cm,+7%
Montenegro,152.15 cm in 1896,164.86 cm in 1996,+12.70 cm,+8%
Morocco,150.77 cm in 1896,157.82 cm in 1996,+7.05 cm,+5%
Mozambique,150.87 cm in 1896,153.96 cm in 1996,+3.09 cm,+2%
Myanmar,145.60 cm in 1896,154.37 cm in 1996,+8.77 cm,+6%
Namibia,156.80 cm in 1896,158.78 cm in 1996,+1.98 cm,+1%
Nauru,151.79 cm in 1896,153.98 cm in 1996,+2.19 cm,+1%
Nepal,144.14 cm in 1896,150.86 cm in 1996,+6.72 cm,+5%
Netherlands,154.82 cm in 1896,168.72 cm in 1996,+13.89 cm,+9%
New Zealand,155.96 cm in 1896,164.94 cm in 1996,+8.98 cm,+6%
Nicaragua,146.11 cm in 1896,154.39 cm in 1996,+8.28 cm,+6%
Niger,156.28 cm in 1896,158.25 cm in 1996,+1.98 cm,+1%
Nigeria,153.13 cm in 1896,156.32 cm in 1996,+3.20 cm,+2%
Niue,152.06 cm in 1896,164.80 cm in 1996,+12.73 cm,+8%
North America,155.55 cm in 1896,162.71 cm in 1996,+7.16 cm,+5%
North Korea,149.12 cm in 1896,158.97 cm in 1996,+9.85 cm,+7%
Norway,159.22 cm in 1896,165.56 cm in 1996,+6.34 cm,+4%
Oman,146.81 cm in 1896,157.19 cm in 1996,+10.38 cm,+7%
Pakistan,150.60 cm in 1896,153.84 cm in 1996,+3.25 cm,+2%
Palau,152.00 cm in 1896,156.22 cm in 1996,+4.22 cm,+3%
Palestine,150.87 cm in 1896,158.75 cm in 1996,+7.89 cm,+5%
Panama,144.49 cm in 1896,155.47 cm in 1996,+10.98 cm,+8%
Papua New Guinea,149.92 cm in 1896,154.87 cm in 1996,+4.96 cm,+3%
Paraguay,149.18 cm in 1896,159.86 cm in 1996,+10.68 cm,+7%
Peru,141.48 cm in 1896,152.93 cm in 1996,+11.45 cm,+8%
Philippines,147.90 cm in 1896,149.61 cm in 1996,+1.71 cm,+1%
Poland,150.54 cm in 1896,164.59 cm in 1996,+14.05 cm,+9%
Portugal,150.46 cm in 1896,163.04 cm in 1996,+12.58 cm,+8%
Puerto Rico,147.30 cm in 1896,159.20 cm in 1996,+11.90 cm,+8%
Qatar,150.43 cm in 1896,159.38 cm in 1996,+8.95 cm,+6%
Romania,151.07 cm in 1896,162.73 cm in 1996,+11.65 cm,+8%
Russia,153.59 cm in 1896,165.27 cm in 1996,+11.68 cm,+8%
Rwanda,152.27 cm in 1896,154.79 cm in 1996,+2.52 cm,+2%
Saint Kitts and Nevis,152.72 cm in 1896,159.20 cm in 1996,+6.48 cm,+4%
Saint Lucia,153.66 cm in 1896,162.31 cm in 1996,+8.66 cm,+6%
Saint Vincent and the Grenadines,150.56 cm in 1896,160.70 cm in 1996,+10.13 cm,+7%
Samoa,157.21 cm in 1896,161.97 cm in 1996,+4.76 cm,+3%
Sao Tome and Principe,152.89 cm in 1896,158.91 cm in 1996,+6.02 cm,+4%
Saudi Arabia,149.12 cm in 1896,155.88 cm in 1996,+6.76 cm,+5%
Senegal,156.94 cm in 1896,162.52 cm in 1996,+5.58 cm,+4%
Serbia,152.00 cm in 1896,167.69 cm in 1996,+15.70 cm,+10%
Seychelles,155.45 cm in 1896,162.08 cm in 1996,+6.62 cm,+4%
Sierra Leone,152.42 cm in 1896,156.60 cm in 1996,+4.18 cm,+3%
Singapore,147.05 cm in 1896,160.32 cm in 1996,+13.27 cm,+9%
Slovakia,155.58 cm in 1896,167.47 cm in 1996,+11.89 cm,+8%
Slovenia,152.51 cm in 1896,166.05 cm in 1996,+13.54 cm,+9%
Solomon Islands,148.45 cm in 1896,154.42 cm in 1996,+5.97 cm,+4%
Somalia,151.77 cm in 1896,156.06 cm in 1996,+4.29 cm,+3%
South Africa,154.91 cm in 1896,158.03 cm in 1996,+3.12 cm,+2%
South Asia,146.19 cm in 1896,153.30 cm in 1996,+7.11 cm,+5%
South Korea,142.17 cm in 1896,162.34 cm in 1996,+20.16 cm,+14%
Spain,151.11 cm in 1896,163.40 cm in 1996,+12.29 cm,+8%
Sri Lanka,145.26 cm in 1896,154.56 cm in 1996,+9.30 cm,+6%
Sub-Saharan Africa,153.24 cm in 1896,157.53 cm in 1996,+4.28 cm,+3%
Sudan,151.76 cm in 1896,156.04 cm in 1996,+4.28 cm,+3%
Suriname,150.49 cm in 1896,160.66 cm in 1996,+10.17 cm,+7%
Swaziland,152.86 cm in 1896,158.64 cm in 1996,+5.78 cm,+4%
Sweden,160.29 cm in 1896,165.70 cm in 1996,+5.41 cm,+3%
Switzerland,157.53 cm in 1896,163.45 cm in 1996,+5.92 cm,+4%
Syria,149.61 cm in 1896,158.65 cm in 1996,+9.04 cm,+6%
Taiwan,149.38 cm in 1896,161.45 cm in 1996,+12.07 cm,+8%
Tajikistan,150.89 cm in 1896,157.33 cm in 1996,+6.44 cm,+4%
Tanzania,150.98 cm in 1896,155.86 cm in 1996,+4.89 cm,+3%
Thailand,148.19 cm in 1896,157.87 cm in 1996,+9.68 cm,+7%
Timor,144.84 cm in 1896,151.15 cm in 1996,+6.31 cm,+4%
Togo,153.01 cm in 1896,158.30 cm in 1996,+5.29 cm,+3%
Tokelau,155.32 cm in 1896,162.46 cm in 1996,+7.14 cm,+5%
Tonga,157.57 cm in 1896,165.52 cm in 1996,+7.95 cm,+5%
Trinidad and Tobago,154.22 cm in 1896,160.64 cm in 1996,+6.43 cm,+4%
Tunisia,150.86 cm in 1896,160.35 cm in 1996,+9.49 cm,+6%
Turkey,149.58 cm in 1896,160.50 cm in 1996,+10.92 cm,+7%
Turkmenistan,152.85 cm in 1896,161.73 cm in 1996,+8.87 cm,+6%
Tuvalu,156.58 cm in 1896,158.10 cm in 1996,+1.52 cm,<1%
Uganda,153.60 cm in 1896,156.72 cm in 1996,+3.12 cm,+2%
Ukraine,153.95 cm in 1896,166.34 cm in 1996,+12.39 cm,+8%
United Arab Emirates,149.61 cm in 1896,158.68 cm in 1996,+9.07 cm,+6%
United Kingdom,153.38 cm in 1896,164.40 cm in 1996,+11.02 cm,+7%
United States,158.51 cm in 1896,163.54 cm in 1996,+5.02 cm,+3%
Uruguay,149.61 cm in 1896,162.13 cm in 1996,+12.52 cm,+8%
Uzbekistan,150.88 cm in 1896,157.82 cm in 1996,+6.94 cm,+5%
Vanuatu,152.72 cm in 1896,158.17 cm in 1996,+5.46 cm,+4%
Venezuela,144.74 cm in 1896,157.44 cm in 1996,+12.70 cm,+9%
Vietnam,144.78 cm in 1896,153.59 cm in 1996,+8.81 cm,+6%
World,151.15 cm in 1896,159.49 cm in 1996,+8.34 cm,+6%
Yemen,145.10 cm in 1896,153.97 cm in 1996,+8.87 cm,+6%
Zambia,151.53 cm in 1896,155.82 cm in 1996,+4.29 cm,+3%
Zimbabwe,155.30 cm in 1896,158.22 cm in 1996,+2.91 cm,+2%
